base_filename,avg_yield_percentage,std_dev_yield
high_1__10.0_kT_1.0_highT.pos,46.86666666666667,4.47908720859755
high_1__15.0_kT_1.0_highT.pos,34.46666666666666,3.33599893418581
high_1__20.0_kT_1.0_highT.pos,6.533333333333334,1.54344492037203
high_1__25.0_kT_1.0_highT.pos,0.13333333333333336,0.1885618083164127
high_1__30.0_kT_1.0_highT.pos,0.06666666666666668,0.09428090415820635
high_1__35.0_kT_1.0_highT.pos,0.13333333333333336,0.09428090415820635
high_1__40.0_kT_1.0_highT.pos,0.13333333333333336,0.09428090415820635
high_1__45.0_kT_1.0_highT.pos,0.0,0.0
high_1__5.0_kT_1.0_highT.pos,21.733333333333338,2.7632509034750283
high_1__50.0_kT_1.0_highT.pos,0.0,0.0
high___0.15_kT_0.75_lowT.pos,0.0,0.0
high___0.1_kT_0.75_lowT.pos,0.0,0.0
high___0.25_kT_0.75_lowT.pos,0.0,0.0
high___0.2_kT_0.75_lowT.pos,0.0,0.0
high___0.35_kT_0.75_lowT.pos,0.0,0.0
high___0.3_kT_0.75_lowT.pos,0.0,0.0
high___0.45_kT_0.75_lowT.pos,0.0,0.0
high___0.4_kT_0.75_lowT.pos,0.0,0.0
high___0.5_kT_0.75_lowT.pos,0.0,0.0
low_125__10.0_kT_1.25_lowT.pos,89.06666666666666,2.536839678725389
low_125__15.0_kT_1.25_lowT.pos,87.26666666666665,1.0370899457402778
low_125__20.0_kT_1.25_lowT.pos,88.33333333333333,1.0873004286866654
low_125__25.0_kT_1.25_lowT.pos,89.39999999999999,0.9933109617167568
low_125__30.0_kT_1.25_lowT.pos,82.33333333333333,3.8689648342791667
low_125__35.0_kT_1.25_lowT.pos,87.86666666666666,2.639865316429768
low_125__40.0_kT_1.25_lowT.pos,88.93333333333332,0.4988876515698495
low_125__45.0_kT_1.25_lowT.pos,87.13333333333333,0.9568466729604953
low_125__5.0_kT_1.25_lowT.pos,89.8,0.28284271247461634
low_125__50.0_kT_1.25_lowT.pos,90.0,2.833137248116771
low_155__5.0_kT_1.5_highT.pos,71.60000000000001,3.179098404684365
low_15__10.0_kT_1.5_lowT.pos,69.26666666666667,5.4414050473098285
low_15__15.0_kT_1.5_lowT.pos,78.2,5.935205697081329
low_15__20.0_kT_1.5_lowT.pos,81.53333333333333,4.778656249988648
low_15__25.0_kT_1.5_lowT.pos,82.0,0.0
low_15__30.0_kT_1.5_lowT.pos,73.13333333333333,1.0873004286866719
low_15__35.0_kT_1.5_lowT.pos,69.53333333333333,1.7307673314329566
low_15__40.0_kT_1.5_lowT.pos,75.46666666666668,8.230566336663736
low_15__45.0_kT_1.5_lowT.pos,78.26666666666667,6.976786907707272
low_15__50.0_kT_1.5_lowT.pos,75.60000000000001,1.8402898322456307
low_75__10.0_kT_1.0_lowT.pos,79.13333333333334,0.8993825042154706
low_75__15.0_kT_1.0_lowT.pos,84.19999999999999,2.5922962793631372
low_75__20.0_kT_1.0_lowT.pos,80.86666666666666,2.5837096500101415
low_75__25.0_kT_1.0_lowT.pos,65.93333333333334,4.1354833118055465
low_75__30.0_kT_1.0_lowT.pos,68.60000000000001,3.929376540877701
low_75__35.0_kT_1.0_lowT.pos,80.26666666666667,2.654974366898647
low_75__40.0_kT_1.0_lowT.pos,65.60000000000001,4.81940521918075
low_75__45.0_kT_1.0_lowT.pos,51.800000000000004,2.315167380558047
low_75__5.0_kT_1.0_lowT.pos,48.26666666666668,4.878068834647124
low_75__50.0_kT_1.0_lowT.pos,84.8,0.7483314773547812
low___0.15_kT_0.75_lowT.pos,0.13333333333333336,0.1885618083164127
low___0.1_kT_0.75_lowT.pos,0.0,0.0
low___0.25_kT_0.75_lowT.pos,58.466666666666676,3.1846855766656548
low___0.2_kT_0.75_lowT.pos,4.2,0.0
low___0.35_kT_0.75_lowT.pos,1.3999999999999997,0.6531972647421809
low___0.3_kT_0.75_lowT.pos,79.93333333333334,1.5860503004493758
low___0.45_kT_0.75_lowT.pos,0.8000000000000002,0.7118052168020874
low___0.4_kT_0.75_lowT.pos,1.4666666666666668,0.9285592184789413
low___0.5_kT_0.75_lowT.pos,0.7999999999999999,0.8640987597877147
percent_15__10.0_kT_1.25_highT.pos,81.66666666666667,2.9408993333483715
percent_15__10.0_kT_1.5_highT.pos,82.66666666666667,2.494438257849294
percent_15__15.0_kT_1.25_highT.pos,70.2,1.9798989873223276
percent_15__15.0_kT_1.5_highT.pos,90.46666666666665,0.956846672960493
percent_15__20.0_kT_1.25_highT.pos,26.13333333333333,1.7152907107024793
percent_15__20.0_kT_1.5_highT.pos,85.13333333333333,1.88561808316412
percent_15__25.0_kT_1.25_highT.pos,45.80000000000001,3.805259518088093
percent_15__25.0_kT_1.5_highT.pos,76.13333333333333,1.3097921802925676
percent_15__30.0_kT_1.25_highT.pos,35.86666666666667,1.463633226673344
percent_15__30.0_kT_1.5_highT.pos,81.06666666666666,2.3456816114345598
percent_15__35.0_kT_1.25_highT.pos,9.133333333333333,1.6519348924485162
percent_15__35.0_kT_1.5_highT.pos,80.46666666666665,1.635712552851372
percent_15__40.0_kT_1.25_highT.pos,0.3333333333333333,0.24944382578492943
percent_15__40.0_kT_1.5_highT.pos,33.733333333333334,4.817560470703912
percent_15__45.0_kT_1.25_highT.pos,0.46666666666666673,0.33993463423951903
percent_15__45.0_kT_1.5_highT.pos,10.866666666666667,5.164838386199085
percent_15__5.0_kT_1.25_highT.pos,87.2,1.2328828005937957
percent_15__5.0_kT_1.5_highT.pos,76.73333333333333,3.51125175527032
percent_15__50.0_kT_1.25_highT.pos,0.13333333333333336,0.09428090415820635
percent_15__50.0_kT_1.5_highT.pos,21.399999999999995,3.4563950391508578
